advantage	8	562	282	292	3.0	22.06	9.32
advantageous	10	0	0	0	4.0	0.39	12.62
advent	6	0	0	0	2.0	0.47	10.38
adventure	8	0	0	0	3.0	13.43	5.67
adventurer	10	402	462	497	4.0	0.73	7.79
adventuresome	11	0	0	0	5.0	0.06	10.38
adventuress	11	0	0	0	4.0	0.22	10.44
adventurous	11	0	0	0	4.0	1.22	10.00
adverb	5	473	352	315	2.0	0.20	8.14
adverbial	8	0	0	0	3.0	0.06	13.14
adversary	8	0	0	0	4.0	1.51	12.67
adverse	5	0	0	0	2.0	0.71	10.72
adversity	8	360	314	326	4.0	1.06	11.79
advert	5	0	0	0	2.0	0.25	14.22
advertise	7	0	0	0	3.0	1.65	9.63
advertisement	11	0	0	0	5.0	1.20	7.67
advertiser	8	0	0	0	4.0	0.16	11.00
advertising	0	0	0	0	4.0	7.43	9.95
advice	5	566	291	352	2.0	47.98	8.61
advisable	8	0	0	0	4.0	0.78	10.75
advise	5	0	0	0	2.0	12.20	8.89
advisement	0	0	0	0	4.0	0.76	12.50
adviser	6	0	0	0	3.0	1.04	10.78
advisor	6	0	0	0	3.0	4.41	11.24
advisory	8	0	0	0	4.0	1.00	11.55
advocacy	8	0	0	0	4.0	0.29	14.06
advocate	7	0	0	0	3.0	2.22	11.11
aegis	4	0	0	0	2.0	0.10	17.00
aerate	5	0	0	0	2.0	0.02	13.44
aeration	7	0	0	0	3.0	0.02	12.35
aerial	5	481	517	567	2.0	2.53	11.50
aerie	3	0	0	0	1.0	0.02	13.00
aero	3	0	0	0	2.0	0.10	11.40
aerobatics	0	0	0	0	4.0	0.02	9.53
aerodynamic	10	0	0	0	5.0	0.43	13.40
aerodynamics	0	0	0	0	5.0	0.31	11.50
aeronaut	6	0	0	0	3.0	0.01	12.92
aeronautical	10	0	0	0	5.0	0.24	14.35
aeronautics	0	0	0	0	4.0	0.18	12.35
aerosol	0	0	0	0	3.0	0.27	9.47
aerospace	0	0	0	0	3.0	1.08	12.06
aesthete	5	0	0	0	2.0	0.12	14.90
aesthetic	7	0	0	0	3.0	0.67	15.74
aesthetics	0	0	0	0	3.0	0.29	15.06
afar	3	0	0	0	2.0	1.16	8.21
afeard	4	0	0	0	2.0	0.22	10.86
affability	9	0	0	0	5.0	0.08	14.07
affable	5	266	0	315	3.0	0.12	13.40
affair	3	531	0	361	2.0	29.45	10.94
affect	5	0	0	0	2.0	11.14	9.60
affectation	9	0	0	0	4.0	0.14	13.82
affection	7	513	280	484	3.0	8.45	8.53
affectionate	8	507	0	471	4.0	2.25	8.50
affective	0	0	0	0	3.0	0.08	11.74
affiant	0	0	0	0	2.0	0.02	14.00
affidavit	8	0	0	0	4.0	1.96	15.69
affiliate	7	0	0	0	3.0	0.29	12.00
affiliation	9	0	0	0	4.0	0.49	12.28
affinity	7	0	0	0	4.0	0.57	12.22
affirm	4	444	0	281	2.0	0.33	12.24
affirmation	8	332	242	313	4.0	0.53	12.56
affirmative	8	0	0	0	4.0	4.73	10.67
affix	5	0	0	0	2.0	0.12	11.94
afflict	6	0	0	0	2.0	0.08	11.50
affliction	8	0	0	0	3.0	1.18	11.32
afflictive	8	0	0	0	3.0	0.02	14.40
affluence	7	0	0	0	2.0	0.14	13.88
affluent	7	0	0	0	2.0	0.29	13.16
afford	4	0	0	0	2.0	44.43	7.47
affray	4	0	0	0	2.0	0.01	13.00
affright	5	219	229	232	2.0	0.04	12.77
affront	6	0	0	0	2.0	0.59	12.44
afghan	0	0	0	0	2.0	0.57	9.11
afire	4	0	0	0	2.0	0.49	11.87
aflame	5	0	0	0	2.0	0.33	11.22
afloat	5	0	0	0	2.0	1.67	9.33
afoot	4	0	0	0	2.0	1.02	11.48
aforesaid	6	0	0	0	4.0	0.08	14.44
aforethought	6	0	0	0	4.0	0.06	13.72
afoul	0	0	0	0	2.0	0.22	11.81
afraid	5	575	336	451	2.0	247.67	4.42
aft	3	0	0	0	1.0	3.53	13.88
after	4	575	242	217	2.0	682.59	6.00
afterbirth	0	0	0	0	3.0	0.10	14.06
aftercare	0	0	0	0	3.0	0.10	11.62
afterglow	7	0	0	0	3.0	0.31	12.53
aftermath	7	0	0	0	3.0	1.04	12.05
afternoon	7	655	406	513	3.0	91.49	4.65
afterthought	7	0	0	0	3.0	0.25	12.78
afterwards	8	0	0	0	3.0	14.00	7.71
again	4	0	0	0	2.0	792.71	5.78
against	6	600	0	285	2.0	201.73	7.97
agate	4	0	0	0	2.0	0.04	13.00
agave	5	0	0	0	2.0	0.04	14.57
age	2	582	390	468	1.0	79.20	4.38
ageless	0	0	0	0	3.0	0.29	10.30
agency	6	420	426	366	3.0	19.43	10.58
agenda	6	0	0	0	3.0	7.31	9.95
agent	5	0	0	0	2.0	102.65	9.55
ageratum	0	0	0	0	4.0	0.02	13.29
agglomerate	9	0	0	0	4.0	0.01	15.67
